filename,dirty,damaged,split
100_jpg.rf.e473995d292cb38b617075277670fd8c.jpg,,1,train
108_jpg.rf.04f7d83b9ea7e5a32c896adaa473bb93.jpg,,1,train
109_jpg.rf.548986722a1c7a422b89a05faafa9725.jpg,,1,train
10_jpg.rf.04a20ecb851088e6f2ec0be962c3c074.jpg,,1,train
114_jpg.rf.ecdeda1d232515402df4dc183e703701.jpg,,1,train
116_jpg.rf.fb7a7bdceed4be512e0254410ecbde40.jpg,,1,train
117_jpg.rf.c45ef578d2a299f7c041a46bb89a34e6.jpg,,1,train
118_jpg.rf.ec300de3a00b91f0573b2817b4cd77af.jpg,,1,train
119_jpg.rf.178ee5c49548d4ab261104e3c2369bb7.jpg,,1,train
11_jpg.rf.2f16835b698ad32c224d52ec51f3945d.jpg,,1,train
120_jpg.rf.dcd865dce6d4c10547f37e5db303e5c1.jpg,,1,train
121_jpg.rf.e3cc9c4d7c307a91823e2760ab6c55cc.jpg,,1,train
123_jpg.rf.15e4a61d58797ad5d3b557002967f078.jpg,,1,train
126_jpg.rf.6667f71ab32696eb639c239d5325c619.jpg,,1,train
127_jpg.rf.79247dbd6cf2640feefc39dfd6182759.jpg,,1,train
128_jpg.rf.9c470a30b01cdb5f2cf78ac9a8017dc5.jpg,,1,train
129_jpg.rf.1e25b9422ad325201ff9a17087903814.jpg,,1,train
130_jpg.rf.a9a2d418d136553017714eaeeceebdc9.jpg,,1,train
132_jpg.rf.04bd93eb27a5a701861345a3087d7a5c.jpg,,1,train
133_jpg.rf.d1de0901d21410f8734c504969b14fce.jpg,,1,train
135_jpg.rf.74b543dc5eb6bb09188f8177a8ea5a86.jpg,,1,train
136_jpg.rf.8c5353e677148b676de223360c428229.jpg,,1,train
137_jpg.rf.e9cad76eb592f54b4b61567554c35160.jpg,,1,train
138_jpg.rf.bde2d0b9069090b130d8f105c363f5f4.jpg,,1,train
139_jpg.rf.528e4bb478757678cbcafc7e1dea10f7.jpg,,1,train
13_jpg.rf.9036e357e682d0962495d695f2562e57.jpg,,1,train
